

*** Refreshing session trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x181e3, version=22.9.0)
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
125211.880964,00103,0034: execute succeeded
125211.880978,00103,0034: before writing message
125211.881164,00103,0034: writing message completed
125211.881173,00103,0034: waiting for command
125211.882387,00103,0034: cmd: "load_dish"
125211.882401,00103,0034: got: "---"
125211.882407,00103,0034: got: "- aaxh"
125211.882412,00103,0034: got: "..."
125211.882430,00103,0034: yaml parsing succeeded
125211.882521,00103,0034: parsed params:
---
- aaxh
125211.882536,00103,0034: got command
125211.882541,00103,0034: before check input parameters
125211.882545,00103,0034: before calling execute
125211.883179,00103,0034: dish directory doesn't exist "Macintosh HD:Library:Application Support:Avid:Audio:dishes:"
125211.884400,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:aaxh.dish:"
125211.948771,00103,0f0a: Initialize: enter
125211.948782,00103,0f0a: Initialize: exit (11 us)
125211.948834,00103,0034: AAXDishCommon::CSharedData created
125211.948938,00103,0034: yaml parsing succeeded
125211.949191,00103,0034: yaml parsing succeeded
125211.950025,00103,0034: yaml parsing succeeded
125211.950119,00103,0034: yaml parsing succeeded
125211.950207,00103,0034: yaml parsing succeeded
125211.950290,00103,0034: yaml parsing succeeded
125211.950422,00103,0034: yaml parsing succeeded
125211.950912,00103,0034: yaml parsing succeeded
125211.951053,00103,0034: yaml parsing succeeded
125211.951839,00103,0034: yaml parsing succeeded
125211.953267,00103,0034: yaml parsing succeeded
125211.953718,00103,0034: yaml parsing succeeded
125211.955224,00103,0034: yaml parsing succeeded
125211.955582,00103,0034: yaml parsing succeeded
125211.955957,00103,0034: yaml parsing succeeded
125211.956585,00103,0034: yaml parsing succeeded
125211.957032,00103,0034: yaml parsing succeeded
125211.957380,00103,0034: yaml parsing succeeded
125211.957804,00103,0034: dish loaded
125211.957812,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:DAE.dish:"
125211.957814,00103,0034: dish ignored
125211.957820,00103,0034: execute succeeded
125211.957822,00103,0034: before writing message
125211.957906,00103,0034: writing message completed
125211.957908,00103,0034: waiting for command
125211.958714,00103,0034: cmd: "init"
125211.958719,00103,0034: got: "--- debug_max"
125211.958720,00103,0034: got: "..."
125211.958725,00103,0034: yaml parsing succeeded
125211.958752,00103,0034: parsed params:
--- debug_max
125211.958754,00103,0034: got command
125211.958756,00103,0034: before check input parameters
125211.958757,00103,0034: cmd: init
125211.958780,00103,0034: 
failed sequence '""', user input 'debug_max', failure reason - got non empty input when expected empty element
125211.958807,00103,0034: before calling execute
125211.958825,00103,0034: DSH_TParameter::SetFromAny - set parameter "debuglevel" to "15"
125211.958833,00103,0f0a: AAXHShell_SetDebugLevel: returning true
125211.958841,00103,0f0a: AAXHShell_GetDebugLevel: returning true
125211.958855,00103,0034: execute succeeded
125211.958858,00103,0034: before writing message
125211.958975,00103,0034: writing message completed
125211.958978,00103,0034: waiting for command
125211.959715,00103,0034: cmd: "loadpi"
125211.959723,00103,0034: got: "--- "/Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin""
125211.959725,00103,0034: got: "..."
125211.959730,00103,0034: yaml parsing succeeded
125211.959768,00103,0034: parsed params:
--- /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
125211.959772,00103,0034: got command
125211.959773,00103,0034: before check input parameters
125211.959774,00103,0034: cmd: loadpi
125211.959794,00103,0034: before calling execute
125211.959802,00103,0034: DSH_TParameter::SetFromAny - set parameter "path" to "/Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin"
125211.959824,00103,0f0a: AAXHShell_CCommandManager::CreateList - created command list id: 0
125211.959826,00103,0f0a: AAXHShell_CreateCommandList: returning true
125211.959833,00103,0f0a: AAXHShell_AddCommandListData: returning true
125211.959834,00103,0f0a: AAXHShell_AddCommandListData: returning true
125211.959839,00103,0f0a: AAXHShell_CCommandManager::Push - pushed command to command list id: 0
125211.959840,00103,0f0a: AAXHShell_PushCommandLoadPlugIn: returning true
125211.959841,00103,0f0a: AAXHShell_CCommandManager::DoActionOnList - executing action: 0, command list id: 0
125211.959845,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Execute: enter
125211.959846,00103,0f0a: LoadPlugIn: enter
125211.959847,00103,0f0a:   path: /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
125211.969018,00103,0f0a: AAXHShell_CPlugInManager::LoadPlugIn succeeded - id: 0, collection: 0x600002d38fc0, plug-in: /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
125211.969025,00103,0f0a: LoadPlugIn: exit (9178 us)
125211.969026,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Execute: exit (9181 us)
125211.969030,00103,0f0a: AAXHShell_ExecuteCommandList: returning true
125211.969038,00103,0f0a: AAXHShell_GetCommandListData: returning true
125211.969054,00103,0f0a: AAXHShell_GetCommandListData: returning true
125211.969064,00103,0f0a: AAXHShell_GetCommandListData: returning true
125211.969074,00103,0f0a: AAXHShell_GetPlugInPath: returning true
125211.969084,00103,0034: execute succeeded
125211.969088,00103,0034: before writing message
125211.969237,00103,0034: writing message completed
125211.969240,00103,0034: waiting for command
125211.969757,00103,0034: cmd: "listeffects"
125211.969761,00103,0034: got: "--- 0"
125211.969763,00103,0034: got: "..."
125211.969769,00103,0034: yaml parsing succeeded
125211.969793,00103,0034: parsed params:
--- 0
125211.969796,00103,0034: got command
125211.969797,00103,0034: before check input parameters
125211.969798,00103,0034: cmd: listeffects
125211.969819,00103,0034: 
failed sequence '""', user input '0', failure reason - got non empty input when expected empty element
125211.969841,00103,0034: before calling execute
125211.969853,00103,0034: DSH_TParameter::SetFromAny - set parameter "plugin" to "0"
125211.969858,00103,0f0a: AAXHShell_GetCommandListData: returning true
125211.969862,00103,0f0a: AAXHShell_GetCommandListData: returning true
125211.969866,00103,0f0a: AAXHShell_GetPlugInPath: returning true
125211.969868,00103,0f0a: AAXHShell_GetCommandListData: returning true
125211.969870,00103,0f0a: AAXHShell_GetNumberOfEffects: returning true
125211.969872,00103,0f0a: AAXHShell_GetCommandListData: returning true
125211.969876,00103,0f0a: AAXHShell_GetEffectIDByIndex: returning true
125211.969907,00103,0034: execute succeeded
125211.969912,00103,0034: before writing message
125211.970115,00103,0034: writing message completed
125211.970119,00103,0034: waiting for command
125211.971246,00103,0034: cmd: "getdescription"
125211.971250,00103,0034: got: "---"
125211.971251,00103,0034: got: "plugin: 0"
125211.971253,00103,0034: got: "effect: 0"
125211.971255,00103,0034: got: "stringformat: yaml"
125211.971257,00103,0034: got: "..."
125211.971262,00103,0034: yaml parsing succeeded
125211.971388,00103,0034: parsed params:
---
effect: 0
plugin: 0
stringformat: yaml
125211.971394,00103,0034: got command
125211.971396,00103,0034: before check input parameters
125211.971397,00103,0034: cmd: getdescription
125211.971585,00103,0034: 
failed sequence '"[plugin_listval, effect_listval]"' matching element '[plugin_listval, effect_listval]' with user input '{effect: 0, plugin: 0, stringformat: yaml}', failure reason - not a list
125211.971707,00103,0034: before calling execute
125211.971721,00103,0034: DSH_TParameter::SetFromAny - set parameter "effect" to "0"
125211.971725,00103,0034: DSH_TParameter::SetFromAny - set parameter "plugin" to "0"
125211.971730,00103,0034: DSH_TParameter::SetFromAny - set parameter "stringformat" to "2"
125211.971738,00103,0f0a: AAXHShell_GetCommandListData: returning true
125211.971950,00103,0f0a: AAXHShell_GetEffectDescriptionSize: returning true
125211.971953,00103,0f0a: AAXHShell_GetCommandListData: returning true
125211.971956,00103,0f0a: AAXHShell_GetEffectDescription: returning true
125211.974207,00103,0034: execute succeeded
125211.974261,00103,0034: before writing message
125211.976670,00103,0034: writing message completed
125211.976702,00103,0034: waiting for command
125211.979777,00103,0034: cmd: "teardown"
125211.979781,00103,0034: got: "--- "
125211.979782,00103,0034: got: "..."
125211.979787,00103,0034: yaml parsing succeeded
125211.979789,00103,0034: parsed params:
--- ~
125211.979792,00103,0034: got command
125211.979793,00103,0034: before check input parameters
125211.979794,00103,0034: before calling execute
125211.979801,00103,0f0a: AAXHShell_CCommandManager::DoActionOnList - executing action: 1, command list id: 0
125211.979803,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Undo: enter
125211.979805,00103,0f0a: UnloadPlugIn: enter
125211.979806,00103,0f0a:   pi: 0
125211.979841,00103,0f0a: UnloadPlugIn: exit (36 us)
125211.979843,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Undo: exit (39 us)
125211.979846,00103,0f0a: AAXHShell_UndoCommandList: returning true
125211.979850,00103,0f0a: AAXHShell_DeleteCommandList: returning true
125211.979851,00103,0f0a: AAXHShell_UndoAndDeleteCommandList: returning true
125211.979982,00103,0f0a: Teardown: enter
125211.979988,00103,0f0a: Teardown: exit (6 us)
125211.980046,00103,0034: execute succeeded
125211.980049,00103,0034: before writing message
125211.980129,00103,0034: writing message completed
125211.980131,00103,0034: waiting for command
125211.980377,00103,0034: cmd: "exit"
125211.980381,00103,0034: got: "--- "
125211.980382,00103,0034: got: "..."
125211.980386,00103,0034: yaml parsing succeeded
125211.980389,00103,0034: parsed params:
--- ~
125211.980391,00103,0034: got command
125211.980392,00103,0034: before check input parameters
125211.980393,00103,0034: before calling execute
125211.980396,00103,0034: execute succeeded
